Model,Target,RMSE,MAE,R2
Ridge (a=10),Burst Release 24h percent,5.467581531154105,4.419377244077481,0.7214056184344184
RF,Burst Release 24h percent,5.579488514568871,4.167052940548342,0.7098847261878221
XGBoost,Burst Release 24h percent,4.134783980902414,3.2422308547973637,0.8406737009520009
Ridge (a=10),T50 days,7.47114287735018,6.0217294242477495,0.6894861154106569
RF,T50 days,7.977636312293889,5.247716251526251,0.6459574925944034
XGBoost,T50 days,8.464686458819129,6.054211025238037,0.6014078947145309
Ridge (a=10),T90 days,28.273126757741057,22.025412965931892,0.12257453387415096
RF,T90 days,19.81485202420367,16.85595390775891,0.5690327968683171
XGBoost,T90 days,19.377041572029654,15.343270950317383,0.5878668992753716
Ridge (a=10),Max Release percent,5.66956967114414,4.48647016464109,-0.3283171678739023
RF,Max Release percent,4.992218691472478,3.922292458302827,-0.029885151395035114
XGBoost,Max Release percent,5.185146180862581,4.012959057617187,-0.11102441283235409
