Burst Release 24h percent,T50 days,T90 days,Max Release percent
21.33,14,56.0,84.18
5.62,21,56.0,93.84
5.51,21,56.0,92.69
7.0,35,112.0,90.71
12.03,28,98.0,82.83
20.15,5,21.0,92.93
7.95,21,56.0,89.58
10.22,21,42.0,93.16
26.52,3,14.0,98.0
38.95,2,14.0,95.13
4.97,28,84.0,91.58
7.48,14,56.0,96.48
6.31,21,70.0,87.59
15.66,7,35.0,89.24
26.21,5,21.0,95.01
6.17,56,56.0,74.95
2.34,35,98.0,93.17
9.04,14,35.0,90.54
8.03,42,112.0,87.71
12.05,14,35.0,92.51
38.96,2,10.0,86.1
28.22,2,14.0,92.45
9.95,21,70.0,86.15
18.03,7,28.0,91.57
3.43,21,56.0,95.74
